Title,Description,Location,Picture,Icon,Tags
Aardvarks,"The aardvark is a medium-sized, burrowing, nocturnal mammal native to Africa. Its main predators are lions, leopards, hunting dogs and pythons, and to avoid them they can dig fast or run in zigzag fashion to escape. Meet our boisterous couple called Kiyo and Misha in Animal Adventure.","51.5336,-0.1533",images/popups/aardvarki.jpg,images/markers/aardvark.png,"big, ants, smelly, shy, mammals"
African Bird Safari,The walk-through African Bird Safari is a great way to get up close and personal with some of our animals and at 51m long and 10m high the aviary offers a huge flying space for the birds.,"51.5351,-0.1552",images/popups/birdsafarii.jpg,images/markers/african-bird-safari.png,"walk through, bird route, birds"
Ambika Paul memorial fountain,Memorial fountain dedicated by Lord Paul.,"51.5349,-0.1536",https://static.zsl.org/static/site/graphics/2011/london-zoo/logo.png,images/markers/fountain.png,"sculpture, fountain, architecture, history"
Amphitheatre,"The Amphiteatre is home to our popular Animals in Action demonstration. See animals flying, leaping and climbing animals show off their natural skills.","51.5353,-0.1536",images/popups/amphitheatrei.jpg,images/markers/amphitheatre.png,"building, show, animals in action"
Animal Adventure - entrance,"Animal Adventure, our children's zoo, allows children the chance to immerse themselves in the sights, sounds, smells and experiences of life in the animal kingdom. Animal Adventure is home to meerkats, porcupines, coatis, pigs, sheep, pygmy goats, aardvarks and more.","51.5337,-0.1524",https://static.zsl.org/static/site/graphics/2011/london-zoo/logo.png,images/markers/animal-adventure.png,
Animal Adventure tipi,Be enchanted by storytelling in the tipi.,"51.5337,-0.1534",images/popups/teepeei.jpg,images/markers/tipi.png,
Anteaters,"Giant anteaters rip open ant nests and termite mounds using their long claws. Their tongue can reach 60cm and is covered in spines and thick sticky saliva which is ideal for catching their prey. Anteaters can stick up to 30,000 ants a day on to their tongues. They are native to Central and South America and like in swamps and grasslands. Watch out for our pair of giant anteaters in their afternoon feeding time.","51.5338,-0.1516",images/popups/anteateri.jpg,images/markers/anteater.png,"giant anteaters, anteaters, mammal"
Aquarium,"ZSL London Zoo has had an Aquarium since 1853, and has a fascinating history. Separated into three different halls, which are home to different types of fish, the Aquarium is involved in many different conservation projects and breeding programmes.","51.5353,-0.1559",images/popups/aquariumi.jpg,images/markers/aquarium.png,"halloween, fish, fishes, seahorse, seahorses, sea horse, tropical fish, coral, coral reef, history, architecture"
Barclay Court,"Find the Terrace Restaurant, Penguin Beach, the carousel, Sblended Milkshakes, and the Gift Shop & Exit on Barclay Court.","51.53571855406747,-0.15321850776672363",https://static.zsl.org/static/site/graphics/2011/london-zoo/logo.png,images/markers/barclay.png,
Bearded pigs,Bearded pigs get their name from the 'beard' of yellowish whiskers on the side of the face and over the bridge of the nose. The Latin word Sus means 'pig' and barbatus means 'bearded'.,"51.5347,-0.1539",images/popups/beardedpigi.jpg,images/markers/bearded-pig.png,"pig, smelly"
Birds of prey,Be amazed by birds of prey including African harrier hawks and the striated caracara.,"51.5358,-0.1546",https://static.zsl.org/static/site/graphics/2011/london-zoo/logo.png,images/markers/bird-of-prey.png,"deadly birds, caracara, hawk, harrier hawk, vultures"
